MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\DR_350mupmin_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:49:43	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.094
Update Count:	550
Backgrounds Count:	1
Total Pulses:	4298
Total Time:	30300	ms
Beam ON Time:	27450	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.002272072706327	0.000000000000000	0.048545553457711	0.000000000000000	0.058881884220295	0.000000000000000	0.031809017888572	0.000000000000000	0.038849243175782	0.000000000000000	0.047681525808826	0.000000000000000	-0.001856059393901	0.000000000000000	0.048609555505776	0.000000000000000	0.040449294377420	0.000000000000000	0.002976095235048	0.000000000000000	0.007296233479471	0.000000000000000	0.005792185349931	0.000000000000000	-0.009024288777241	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.029024928797722	0.000000000000000	0.021312682005824	0.000000000000000	0.038561233959487	0.000000000000000	0.008288265224487	0.000000000000000	0.008448270344651	0.000000000000000	0.034337098787161	0.000000000000000	0.021856699414381	0.000000000000000	0.019712630804186	0.000000000000000	0.009568306185798	0.000000000000000	0.002016064514064	0.000000000000000	0.008000256008192	0.000000000000000	0.011008352267273	0.000000000000000	-0.000448014336459	0.000000000000000	0.008768280584979	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.027232871451886	0.000000000000000	0.066690134084291	0.000000000000000	0.031489007648245	0.000000000000000	0.003392108547474	0.000000000000000	0.009824314378060	0.000000000000000	0.012096387084387	0.000000000000000	0.023680757784249	0.000000000000000	-0.001472047105507	0.000000000000000	0.012032385036321	0.000000000000000	0.024256776216839	0.000000000000000	0.011456366603731	0.000000000000000	0.012960414733271	0.000000000000000	0.007680245767865	0.000000000000000	0.010432333834683	0.000000000000000	-0.000608019456623	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.009824314378060	0.000000000000000	0.026144836634772	0.000000000000000	0.028256904220935	0.000000000000000	0.047265512496400	0.000000000000000	0.001728055297770	0.000000000000000	0.000672021504688	0.000000000000000	0.024768792601363	0.000000000000000	0.011712374795993	0.000000000000000	0.008960286729175	0.000000000000000	0.008640276488848	0.000000000000000	0.010208326666453	0.000000000000000	0.009760312329995	0.000000000000000	0.005952190470095	0.000000000000000	-0.007552241671733	0.000000000000000	-0.005216166917341	0.000000000000000	-0.010144324618388	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.044705430573778	0.000000000000000	0.031489007648245	0.000000000000000	0.046145476655253	0.000000000000000	0.016096515088483	0.000000000000000	0.030176965662901	0.000000000000000	0.007136228359307	0.000000000000000	-0.002912093186982	0.000000000000000	0.030240967710967	0.000000000000000	0.000288009216295	0.000000000000000	0.018784601107235	0.000000000000000	0.004160133124260	0.000000000000000	0.009152292873372	0.000000000000000	-0.028608915485296	0.000000000000000	0.016992543761400	0.000000000000000	-0.012608403468911	0.000000000000000	-0.002816090114884	0.000000000000000	-0.030048961566770	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.028032897052706	0.000000000000000	0.017184549905597	0.000000000000000	0.012832410637140	0.000000000000000	0.020128644116612	0.000000000000000	0.021728695318250	0.000000000000000	-0.003264104451342	0.000000000000000	0.007680245767865	0.000000000000000	0.003520112643605	0.000000000000000	0.007168229383340	0.000000000000000	-0.002688086018753	0.000000000000000	0.011808377868092	0.000000000000000	0.016480527376876	0.000000000000000	0.005760184325898	0.000000000000000	-0.018496591890941	0.000000000000000	0.004672149508784	0.000000000000000	0.002624083970687	0.000000000000000	0.003968126980063	0.000000000000000	-0.007296233479471	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.003616115715703	0.000000000000000	0.019136612371596	0.000000000000000	0.046049473583155	0.000000000000000	0.019296617491760	0.000000000000000	0.038753240103683	0.000000000000000	0.002336074754392	0.000000000000000	0.016128516112516	0.000000000000000	0.052001664053250	0.000000000000000	0.033601075234408	0.000000000000000	0.029760952350475	0.000000000000000	0.001088034817114	0.000000000000000	0.020096643092579	0.000000000000000	-0.010112323594355	0.000000000000000	0.010080322570322	0.000000000000000	0.000992031745016	0.000000000000000	0.018048577554482	0.000000000000000	0.014272456718615	0.000000000000000	0.008192262152389	0.000000000000000	0.025184805913789	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.017600563218023	0.000000000000000	0.023680757784249	0.000000000000000	0.009952318474191	0.000000000000000	0.012032385036321	0.000000000000000	0.028128900124804	0.000000000000000	0.018592594963039	0.000000000000000	0.013952446478287	0.000000000000000	-0.009888316426126	0.000000000000000	0.012192390156485	0.000000000000000	0.011232359435502	0.000000000000000	-0.024544785433134	0.000000000000000	0.014144452622484	0.000000000000000	0.010592338954847	0.000000000000000	0.008640276488848	0.000000000000000	0.014848475151205	0.000000000000000	-0.002048065538097	0.000000000000000	-0.013504432141829	0.000000000000000	0.004288137220391	0.000000000000000	-0.007680245767865	0.000000000000000	-0.017344555025761	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.035553137700406	0.000000000000000	0.027840890908509	0.000000000000000	0.022656725015200	0.000000000000000	0.027424877596083	0.000000000000000	0.046049473583155	0.000000000000000	0.049697590322890	0.000000000000000	0.010528336906781	0.000000000000000	-0.000064002048066	0.000000000000000	0.003360107523441	0.000000000000000	0.030208966686934	0.000000000000000	0.020160645140645	0.000000000000000	-0.004448142340555	0.000000000000000	0.011936381964223	0.000000000000000	0.020128644116612	0.000000000000000	0.006560209926718	0.000000000000000	0.014176453646517	0.000000000000000	0.011168357387436	0.000000000000000	-0.005984191494128	0.000000000000000	0.011904380940190	0.000000000000000	0.060641940542097	0.000000000000000	0.003488111619572	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.005696182277833	0.000000000000000	-0.010304329738552	0.000000000000000	0.011200358411469	0.000000000000000	0.018784601107235	0.000000000000000	0.036577170469455	0.000000000000000	0.009472303113700	0.000000000000000	0.029472943134180	0.000000000000000	0.010944350219207	0.000000000000000	-0.007168229383340	0.000000000000000	-0.004608147460719	0.000000000000000	0.002944094211015	0.000000000000000	0.003328106499408	0.000000000000000	0.009504304137732	0.000000000000000	0.016736535569138	0.000000000000000	-0.008288265224487	0.000000000000000	-0.008960286729175	0.000000000000000	-0.001792057345835	0.000000000000000	0.004032129028129	0.000000000000000	0.001984063490032	0.000000000000000	-0.004192134148293	0.000000000000000	0.004224135172326	0.000000000000000	-0.003904124931998	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
